step,expected_path,exists,file_type,file_size_bytes,last_modified_time,validation_status,notes
Step 13,docs/step13_wsl_rviz_visual_smoke_test_and_demo_packaging.csv,true,csv,4520,2026-04-26T11:23:20+08:00,valid_csv,rows=16 columns=5 column_names=category|item|result|evidence_path|notes
Step 13,docs/step13c_rviz_visual_evidence_correction.md,true,markdown,5791,2026-04-26T10:39:43+08:00,present_not_machine_checked,
Step 13,docs/step13d_rviz_usability_fix.md,false,missing,0,,missing_optional,optional if not folded into Step 13 docs
Step 13,runtime_stage1_frozen_evidence/step13_wsl_rviz_demo_packaging,true,directory,4096,2026-04-25T11:52:31+08:00,present_directory,entries_recursive=54
Step 13,runtime_stage1_frozen_evidence/step13_wsl_rviz_demo_packaging/rviz/boxfusion_artifact_markers.rviz,true,rviz_config,3173,2026-04-25T11:48:51+08:00,present_not_machine_checked,
Step 13,runtime_stage1_frozen_evidence/step13_wsl_rviz_demo_packaging/rviz/boxfusion_artifact_markers_user_friendly.rviz,true,rviz_config,3187,2026-04-26T11:23:20+08:00,present_not_machine_checked,user-friendly RViz config if present
Step 13,runtime_stage1_frozen_evidence/step13_wsl_rviz_demo_packaging/scripts/run_step13_rviz_demo.sh,true,shell_script,1018,2026-04-25T11:49:00+08:00,valid_shell_syntax,
Step 13,runtime_stage1_frozen_evidence/step13_wsl_rviz_demo_packaging/scripts/run_step13_rviz_demo_user_friendly.sh,true,shell_script,3288,2026-04-26T11:25:22+08:00,valid_shell_syntax,user-friendly script if present
Step 13,runtime_stage1_frozen_evidence/step13_wsl_rviz_demo_packaging/screenshots/00843_rviz_desktop_attempt.png,true,image,689168,2026-04-26T11:16:25+08:00,present_not_machine_checked,screenshot if present
Step 13,runtime_stage1_frozen_evidence/step13_wsl_rviz_demo_packaging/screenshots/00862_rviz_desktop_attempt.png,true,image,1203042,2026-04-26T11:11:39+08:00,present_not_machine_checked,screenshot if present
Step 14,docs/step14_paper_demo_evidence_index.md,true,markdown,14367,2026-04-26T11:41:30+08:00,present_not_machine_checked,
Step 14,docs/step14_paper_demo_figure_captions.md,true,markdown,3392,2026-04-26T11:39:04+08:00,present_not_machine_checked,
Step 14,docs/step14_advisor_demo_narrative.md,true,markdown,5961,2026-04-26T11:39:04+08:00,present_not_machine_checked,
Step 14,docs/step14_paper_demo_figure_package.md,true,markdown,2663,2026-04-26T17:23:48+08:00,present_not_machine_checked,
Step 14,docs/step14_paper_demo_figure_package.csv,true,csv,1847,2026-04-26T17:23:48+08:00,valid_csv,rows=11 columns=4 column_names=item|status|path|notes
Step 14,runtime_stage1_frozen_evidence/step14_paper_demo_figure_package,true,directory,4096,2026-04-26T11:33:22+08:00,present_directory,entries_recursive=49
Step 15,docs/step15_paper_experiment_package.md,true,markdown,6627,2026-04-26T17:23:48+08:00,present_not_machine_checked,
Step 15,docs/step15_paper_experiment_package.csv,true,csv,791,2026-04-26T17:23:48+08:00,valid_csv,rows=7 columns=4 column_names=output|category|status|notes
Step 15,docs/step15_paper_figure_table_map.md,true,markdown,6202,2026-04-26T17:23:48+08:00,present_not_machine_checked,
Step 15,docs/step15_claim_boundary_table.md,true,markdown,6142,2026-04-26T17:23:48+08:00,present_not_machine_checked,
Step 15,docs/step15_missing_experiment_evidence.md,true,markdown,2745,2026-04-26T17:23:48+08:00,present_not_machine_checked,
Step 15,runtime_stage1_frozen_evidence/step15_paper_experiment_package,true,directory,4096,2026-04-26T17:23:48+08:00,present_directory,entries_recursive=19
Step 16,docs/step16_gazebo_navigation_projection_contract.md,true,markdown,11358,2026-04-26T17:39:17+08:00,present_not_machine_checked,
Step 16,docs/step16_gazebo_navigation_projection_contract.csv,true,csv,2018,2026-04-26T17:40:10+08:00,valid_csv,rows=12 columns=4 column_names=item|status|path|notes
Step 16,tools/build_step16_navigation_projection_audit.py,true,python,26869,2026-04-26T17:37:28+08:00,valid_python_compile,
Step 16,runtime_stage1_frozen_evidence/step16_navigation_projection_contract,true,directory,4096,2026-04-26T17:37:35+08:00,present_directory,entries_recursive=20
Step 16,runtime_stage1_frozen_evidence/step16_navigation_projection_contract/manifest/step16_navigation_projection_manifest.json,true,json,1943,2026-04-26T17:39:29+08:00,valid_json,generated Step 16 contract artifact; top_level=dict
Step 16,runtime_stage1_frozen_evidence/step16_navigation_projection_contract/tables/navigation_edge_class_summary.csv,true,csv,1204,2026-04-26T17:39:29+08:00,valid_csv,generated Step 16 contract artifact; rows=20 columns=8 column_names=scene_id|edge_evidence_type|edge_count|robot_enabled|robot_candidate_needs_validation|visualization_only|disabled_for_navigation|unsupported_multifloor
Step 16,runtime_stage1_frozen_evidence/step16_navigation_projection_contract/tables/navigation_edge_validation_report.csv,true,csv,45732,2026-04-26T17:39:29+08:00,valid_csv,generated Step 16 contract artifact; rows=162 columns=17 column_names=scene_id|edge_id|source|target|source_floor_id|target_floor_id|relation_type|confidence|support_count|edge_evidence_type|evidence_flags|has_gateway_waypoint|navigation_policy|disabled_reason|not_collision_free|requires_planner_validation|safety_label
Step 16,runtime_stage1_frozen_evidence/step16_navigation_projection_contract/tables/navigation_geometry_availability.csv,true,csv,1496,2026-04-26T17:39:29+08:00,valid_csv,generated Step 16 contract artifact; rows=4 columns=24 column_names=scene_id|room_polygons|room_centers|gateway_positions|anchors|anchor_positions|objects|object_positions|object_labels|floors|vertical_transition_positions|route_room_sequences|route_relation_metadata|x_min|x_max|y_min|y_max|min_floor_z_separation|topological_waypoint_graph|approx_2d_floorplan_occupancy_map|room_center_gateway_waypoint_sequence|gazebo_marker_only_world|gazebo_occupancy_map_server_world|nav2_compatible_map
Step 16,runtime_stage1_frozen_evidence/step16_navigation_projection_contract/tables/gazebo_environment_inventory.json,true,json,1235,2026-04-26T17:39:29+08:00,valid_json,generated Step 16 contract artifact; top_level=dict
Step 17,docs/step17_gazebo_nav2_asset_layer.md,true,markdown,7356,2026-04-26T17:53:33+08:00,present_not_machine_checked,
Step 17,docs/step17_gazebo_nav2_asset_layer.csv,true,csv,397,2026-04-26T17:53:33+08:00,valid_csv,rows=6 columns=4 column_names=category|item|status|claim_boundary
Step 17,tools/build_step17_gazebo_nav2_asset_layer.py,true,python,40742,2026-04-26T17:53:27+08:00,valid_python_compile,
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer,true,directory,4096,2026-04-26T17:52:04+08:00,present_directory,entries_recursive=55
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/runbook.md,true,markdown,3150,2026-04-26T17:53:33+08:00,present_not_machine_checked,
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/manifest/step17_gazebo_nav2_asset_manifest.json,true,json,4918,2026-04-26T17:53:33+08:00,valid_json,generated Step 17 asset/package artifact; top_level=dict
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scripts/install_foxy_gazebo_nav2_deps.sh,true,shell_script,910,2026-04-26T17:53:33+08:00,valid_shell_syntax,generated Step 17 asset/package artifact
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/tables/candidate_edge_waypoint_inventory.csv,true,csv,3590,2026-04-26T17:53:33+08:00,valid_csv,generated Step 17 asset/package artifact; rows=20 columns=12 column_names=scene_id|edge_id|source|target|relation_type|source_floor_id|target_floor_id|edge_evidence_type|navigation_policy|not_collision_free|requires_planner_validation|gateway_xy
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/tables/environment_feasibility_audit.csv,true,csv,1106,2026-04-26T17:53:33+08:00,valid_csv,generated Step 17 asset/package artifact; rows=16 columns=4 column_names=command|returncode|stdout_first_line|stderr_first_line
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/tables/environment_feasibility_audit.json,true,json,4422,2026-04-26T17:53:33+08:00,valid_json,generated Step 17 asset/package artifact; top_level=dict
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/tables/generated_map_inventory.csv,true,csv,1207,2026-04-26T17:53:33+08:00,valid_csv,generated Step 17 asset/package artifact; rows=3 columns=11 column_names=scene_id|floor_id|map_yaml|map_pgm|resolution_m_per_pixel|origin_xy_yaw|width_px|height_px|free_pixels|occupied_pixels|map_status
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/tables/scene_asset_summary.csv,true,csv,564,2026-04-26T17:53:33+08:00,valid_csv,generated Step 17 asset/package artifact; rows=2 columns=7 column_names=scene_id|role|reason|floors|candidate_edges|robot_enabled_edges|primary_world
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/ros2_ws/src/boxfusion_gazebo_nav2_demo/package.xml,true,xml,714,2026-04-26T17:53:33+08:00,valid_xml,generated Step 17 asset/package artifact; xml_parse_ok
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/ros2_ws/src/boxfusion_gazebo_nav2_demo/setup.py,true,python,736,2026-04-26T17:53:33+08:00,valid_python_compile,generated Step 17 asset/package artifact
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/ros2_ws/src/boxfusion_gazebo_nav2_demo/launch/gazebo_marker_world.launch.py,true,python,794,2026-04-26T17:53:33+08:00,valid_python_compile,generated Step 17 asset/package artifact
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/ros2_ws/src/boxfusion_gazebo_nav2_demo/launch/nav2_map_only.launch.py,true,python,903,2026-04-26T17:53:33+08:00,valid_python_compile,generated Step 17 asset/package artifact
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/ros2_ws/src/boxfusion_gazebo_nav2_demo/launch/nav2_bringup_template.launch.py,true,python,974,2026-04-26T17:53:33+08:00,valid_python_compile,generated Step 17 asset/package artifact
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/ros2_ws/src/boxfusion_gazebo_nav2_demo/params/nav2_params_template.yaml,true,yaml,1594,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated Step 17 asset/package artifact; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/scene_asset_manifest.json,true,json,2335,2026-04-26T17:53:33+08:00,valid_json,generated scene asset manifest; top_level=dict
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/waypoints/artifact_route_waypoints.json,true,json,1817,2026-04-26T17:53:33+08:00,valid_json,generated waypoint JSON; top_level=dict
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/waypoints/artifact_route_waypoints.yaml,true,yaml,1564,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated waypoint YAML; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/waypoints/candidate_edges_for_validation.csv,true,csv,516,2026-04-26T17:53:33+08:00,valid_csv,generated candidate edge CSV; rows=2 columns=12 column_names=scene_id|edge_id|source|target|relation_type|source_floor_id|target_floor_id|edge_evidence_type|navigation_policy|not_collision_free|requires_planner_validation|gateway_xy
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/nav2/nav2_params_template.yaml,true,yaml,1685,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated Nav2 params template; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/worlds/00829-QaLdnwvtxbs_marker_world.sdf,true,sdf_xml,12082,2026-04-26T17:53:33+08:00,valid_xml,generated marker-only SDF world; xml_parse_ok
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/scene_asset_manifest.json,true,json,2949,2026-04-26T17:53:33+08:00,valid_json,generated scene asset manifest; top_level=dict
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/waypoints/artifact_route_waypoints.json,true,json,1794,2026-04-26T17:53:33+08:00,valid_json,generated waypoint JSON; top_level=dict
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/waypoints/artifact_route_waypoints.yaml,true,yaml,7296,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated waypoint YAML; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/waypoints/candidate_edges_for_validation.csv,true,csv,3247,2026-04-26T17:53:33+08:00,valid_csv,generated candidate edge CSV; rows=18 columns=12 column_names=scene_id|edge_id|source|target|relation_type|source_floor_id|target_floor_id|edge_evidence_type|navigation_policy|not_collision_free|requires_planner_validation|gateway_xy
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/nav2/nav2_params_template.yaml,true,yaml,1685,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated Nav2 params template; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/worlds/00843-DYehNKdT76V_marker_world.sdf,true,sdf_xml,51271,2026-04-26T17:53:33+08:00,valid_xml,generated marker-only SDF world; xml_parse_ok
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/maps/floor_1_approx_nav_map.yaml,true,yaml,297,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated approximate unvalidated map asset; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00829-QaLdnwvtxbs/maps/floor_1_approx_nav_map.pgm,true,pgm,230271,2026-04-26T17:53:33+08:00,valid_pgm_header,generated approximate unvalidated map asset; magic=P2 width=315 height=238 maxval=255
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/maps/floor_1_approx_nav_map.yaml,true,yaml,298,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated approximate unvalidated map asset; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/maps/floor_1_approx_nav_map.pgm,true,pgm,212687,2026-04-26T17:53:33+08:00,valid_pgm_header,generated approximate unvalidated map asset; magic=P2 width=373 height=219 maxval=255
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/maps/floor_2_approx_nav_map.yaml,true,yaml,298,2026-04-26T17:53:33+08:00,not_checked_yaml_parser_missing,generated approximate unvalidated map asset; PyYAML unavailable
Step 17,runtime_stage1_frozen_evidence/step17_gazebo_nav2_asset_layer/scenes/00843-DYehNKdT76V/maps/floor_2_approx_nav_map.pgm,true,pgm,125047,2026-04-26T17:53:33+08:00,valid_pgm_header,generated approximate unvalidated map asset; magic=P2 width=261 height=182 maxval=255
